date,Spot,log_return,rv_30d,hv_30d_pct
2023-10-04,413.96136474609375,0.007255470058980862,0.23271550070987132,0.23199691800379238
2023-10-05,413.805419921875,-0.00037678444932076616,0.16645120011327014,0.16586903082247648
2023-10-06,418.7184753417969,0.011802934387630692,0.17556350547606184,0.17535187350169404
2023-10-09,421.3991394042969,0.006381661598519273,0.15626177731464147,0.15604043016513905
2023-10-10,423.5924377441406,0.005191302078905835,0.1410003365491411,0.14078025723318746
2023-10-11,425.3276672363281,0.004088092386256292,0.12894823957440782,0.1287375488693382
2023-10-12,422.73468017578125,-0.006115104977232555,0.12984023732957375,0.1296920061549694
2023-10-13,420.6290588378906,-0.004993398733237342,0.12672858275336796,0.12662374120456346
2023-10-16,425.0547180175781,0.010466559020983368,0.12842897651351345,0.12838508916077326
2023-10-17,425.03521728515625,-4.587922198773242e-05,0.12223994546867309,0.12221075842484705
2023-10-18,419.3715515136719,-0.013414744917817245,0.13589499339990987,0.1357277368265682
2023-10-19,415.686767578125,-0.008825270683920472,0.13651842148727733,0.13635900301634138
2023-10-20,410.57879638671875,-0.012364151396989875,0.14101491670358232,0.14080705429414964
2023-10-23,409.8671875,-0.001734688399087858,0.13591603170871838,0.1357189591187422
2023-10-24,412.9573974609375,0.007511259498778955,0.1356591818803654,0.13546845582697534
2023-10-25,407.0304870605469,-0.01445634437280674,0.1418582252647536,0.14158606377517505
2023-10-26,402.156494140625,-0.012046787647111756,0.14331491155509324,0.14302604619849058
2023-10-27,400.3335266113281,-0.0045432855683635864,0.1395961880635548,0.1393235483170169
2023-10-30,405.1199035644531,0.01188506526938049,0.1446444044153733,0.1444344262426566
2023-10-31,407.6641540527344,0.006260602123330017,0.14345166832565867,0.14323728083207757
2023-11-01,412.01177978515625,0.010608257055207737,0.145426783423999,0.14524109821848682
2023-11-02,419.9077453613281,0.018983092596027262,0.1560304402922402,0.1560591765810322
2023-11-03,423.7387390136719,0.009082050494181537,0.1552020570098342,0.15522679181263513
2023-11-06,424.7134704589844,0.002297670660183826,0.15201750793923605,0.1520372097953066
2023-11-07,425.9222412109375,0.0028420428368907125,0.14908483473493592,0.14909876424833077
2023-11-08,426.23419189453125,0.00073214420594514,0.14619019984589976,0.14620425341983045
2023-11-09,422.9101257324219,-0.007829253691640226,0.14580213240106826,0.1458214064380496
2023-11-10,429.509521484375,0.015484222189214414,0.14979742967122806,0.1498847398346027
2023-11-13,429.1001281738281,-0.0009536192418400091,0.14730735408385695,0.14739807251072193
2023-11-14,437.42498779296875,0.01921494392281531,0.14985877578327933,0.15013451511896464
2023-11-15,438.35107421875,0.002114894003462986,0.14905440862332098,0.14933704978820514
2023-11-16,438.8872375488281,0.0012223893773191108,0.14891336957618306,0.14919210748755932
2023-11-17,439.43310546875,0.0012429815489127805,0.14596493197087684,0.14623489595349676
2023-11-20,442.815673828125,0.007668097736697632,0.14637743816531795,0.14664820237115805
2023-11-21,441.85064697265625,-0.00218167509161038,0.14638826698470692,0.14667408191215248
2023-11-22,443.5564880371094,0.003853240182102091,0.14635246364296572,0.1466386846936939
2023-11-24,443.8294372558594,0.0006151759219479302,0.14463971410371287,0.14492099738603523
2023-11-27,443.0301208496094,-0.0018025776807126803,0.14366367757302567,0.1439435985546137
2023-11-28,443.4687805175781,0.0009896452281985546,0.14126098841648366,0.14153908615467062
2023-11-29,443.1568603515625,-0.0007036119067764801,0.14133288570623423,0.14161239770859205
2023-11-30,444.9017028808594,0.0039295714197020715,0.13430848595818604,0.13464840782050944
2023-12-01,447.53375244140625,0.0058985939573421575,0.13075721316196107,0.13110363355036386
2023-12-04,445.1844482421875,-0.0052632726000068075,0.12526568213957906,0.12568124591980018
2023-12-05,445.0967102050781,-0.00019710186284616071,0.12487159842390574,0.12528532852982627
2023-12-06,443.3030700683594,-0.004037917643882061,0.12552846179072305,0.1259533331286459
2023-12-07,446.6856384277344,0.007601410252827456,0.1157430411714787,0.11629512145318559
2023-12-08,448.6060485839844,0.004290027774036531,0.1064806922435494,0.10713239397172232
2023-12-11,450.35089111328125,0.0038819316997029674,0.10361305883529964,0.10426991783019994
2023-12-12,452.4077453613281,0.004556827759051529,0.10086075058015792,0.10150415213240653
2023-12-13,458.64654541015625,0.013695995144768602,0.10474136141799395,0.10541717293303818
2023-12-14,460.1184997558594,0.003204204628414864,0.10281841624237818,0.10349168015825162
2023-12-15,459.36090087890625,-0.0016478869409590757,0.09306130590504491,0.09358601859669204
2023-12-18,461.94482421875,0.005609278319885114,0.09162004916012573,0.09213974067469395
2023-12-19,464.7538757324219,0.006062510107066821,0.09206166071244895,0.09257714036055564
2023-12-20,458.31365966796875,-0.01395416980826969,0.10436528281334728,0.1047176003339777
2023-12-21,462.65936279296875,0.009437269653014724,0.1061592601892153,0.1065131079965222
2023-12-22,463.58917236328125,0.002007689831282633,0.10137471992570837,0.10175212285471222
2023-12-26,465.54669189453125,0.004213640873906854,0.09439551732065714,0.0946853662607876
2023-12-27,466.3883972167969,0.0018063608956664368,0.09380799024941558,0.09409436831727526
2023-12-28,466.5645751953125,0.00037767815917710834,0.07999616070882176,0.0800290833426925
2023-12-29,465.2138977050781,-0.0028991406767930883,0.08132404251044613,0.08136202250989805
2024-01-02,462.6104431152344,-0.005611970516641307,0.0842392005450173,0.08427429192172914
2024-01-03,458.8323974609375,-0.008200328135935742,0.08904669745696057,0.08906234773076033
2024-01-04,457.3544616699219,-0.003226278696876861,0.08801748605443455,0.0880294101053519
2024-01-05,457.98089599609375,0.0013687539080118327,0.08747514597301781,0.08748251284093236
