date,Open,High,Low,Close,Spot,Volume,log_return,return
2023-10-02,415.8720282161266,417.80215618527694,413.7664421812551,416.5446472167969,416.5446472167969,83798600,,
2023-10-03,414.35133041357295,416.60313149378044,409.59426899346283,410.96875,410.96875,103760600,-0.013476474518349768,-0.01338607338745812
2023-10-04,411.436619280369,414.71195510117866,409.964651828837,413.96136474609375,413.96136474609375,87453000,0.007255470058980862,0.007281854754391359
2023-10-05,413.66893271247125,414.65349694142213,410.55932689037775,413.805419921875,413.805419921875,70142700,-0.00037678444932076616,-0.0003767134749746992
2023-10-06,411.3391815343107,420.26841441419174,410.0037011243771,418.7184753417969,418.7184753417969,113273300,0.011802934387630692,0.011872863871259742
2023-10-09,416.80777905217246,421.97427170928734,416.25216191772324,421.3991394042969,421.3991394042969,80374400,0.006381661598519273,0.0064020677862657305
2023-10-10,422.0327413468787,426.2049121040321,421.6330670998548,423.5924377441406,423.5924377441406,78607300,0.005191302078905835,0.0052048002351030576
2023-10-11,424.6648058188527,425.5810967496336,422.26675991351675,425.3276672363281,425.3276672363281,62451700,0.004088092386256292,0.004096460034623162
2023-10-12,425.94180257182495,426.3219617182537,420.36590701719814,422.73468017578125,422.73468017578125,81154200,-0.006115104977232555,-0.006096445776489157
2023-10-13,424.2455830882872,425.4543635328608,419.04987686462397,420.6290588378906,420.6290588378906,95143100,-0.004993398733237342,-0.004980952442830255
2023-10-16,422.8906459728739,426.12701132779,422.64694430004124,425.0547180175781,425.0547180175781,75433200,0.010466559020983368,0.010521525050871894
2023-10-17,421.9060960293189,427.1018325299322,421.5551798879123,425.03521728515625,425.03521728515625,75324700,-4.587922198773242e-05,-4.587816955148316e-05
2023-10-18,423.2512926064637,424.2163416495345,418.27977284903875,419.3715515136719,419.3715515136719,93559800,-0.013414744917817245,-0.013325168224083028
2023-10-19,420.0929124098837,421.915795975772,415.0044208134736,415.686767578125,415.686767578125,121323000,-0.008825270683920472,-0.008786442290248497
2023-10-20,415.24812835484806,415.7940176738114,410.4715521908134,410.57879638671875,410.57879638671875,123919900,-0.012364151396989875,-0.01228802932834816
2023-10-23,409.03859591438896,413.7566861845482,407.2741982932137,409.8671875,409.8671875,92035100,-0.001734688399087858,-0.0017331846967774123
2023-10-24,412.00207611511087,414.1174198991763,410.1401916112884,412.9573974609375,412.9573974609375,78564200,0.007511259498778955,0.007539539770886172
2023-10-25,411.2611739159688,411.2904169242442,406.51384074852336,407.0304870605469,407.0304870605469,94223200,-0.01445634437280674,-0.014352353140619667
2023-10-26,405.9582640880993,406.81606899932837,401.2304456203667,402.156494140625,402.156494140625,115156800,-0.012046787647111756,-0.011974515607222402
2023-10-27,403.75510694875203,404.15478118393054,398.9005598651939,400.3335266113281,400.3335266113281,107367700,-0.0045432855683635864,-0.004532980458745062
2023-10-30,403.141047198921,406.1824392731636,401.83480982081625,405.1199035644531,405.1199035644531,86562700,0.01188506526938049,0.011955973294667244
2023-10-31,405.6950255751164,407.9858271586759,403.7746552793757,407.6641540527344,407.6641540527344,79665200,0.006260602123330017,0.006280240654422675
2023-11-01,408.6389571260531,412.83061379639145,408.10279562252936,412.01177978515625,412.01177978515625,98068100,0.010608257055207737,0.010664724109786361
2023-11-02,415.8330307293069,420.0637180038268,415.813545304772,419.9077453613281,419.9077453613281,94938900,0.018983092596027262,0.01916441704722427
2023-11-03,422.2278004846274,425.2984357283652,422.1010708501771,423.7387390136719,423.7387390136719,100167800,0.009082050494181537,0.009123417452200577
2023-11-06,424.49901182686875,425.16187314477696,422.75409976323414,424.7134704589844,424.7134704589844,67831700,0.002297670660183826,0.0023003123282552274
2023-11-07,424.7134905447946,426.5656171377113,423.5632258948368,425.9222412109375,425.9222412109375,64256100,0.0028420428368907125,0.0028460852693152905
2023-11-08,426.52662197918363,427.05302588029497,423.91414739383225,426.23419189453125,426.23419189453125,61746000,0.00073214420594514,0.0007324122889353912
2023-11-09,427.3844848158496,427.42348541262743,422.48120841408235,422.9101257324219,422.9101257324219,83174400,-0.007829253691640226,-0.007798684913883913
2023-11-10,424.99619191806926,429.8214667358813,422.9003339303596,429.509521484375,429.509521484375,89462200,0.015484222189214414,0.01560472391273171
2023-11-13,428.16432214885,430.2113922506014,427.3747311670345,429.1001281738281,429.1001281738281,52236100,-0.0009536192418400091,-0.00095316469151141
2023-11-14,435.07570025554276,438.7214675155069,434.85148402212064,437.42498779296875,437.42498779296875,97176900,0.01921494392281531,0.01940073906425921
2023-11-15,438.77023396435783,440.0082575252673,437.4932395541406,438.35107421875,438.35107421875,77327600,0.002114894003462986,0.002117131969195052
2023-11-16,437.9026732481024,439.2089106749989,436.83037991296646,438.8872375488281,438.8872375488281,66665800,0.0012223893773191108,0.0012231367997299625
2023-11-17,438.8969439529958,440.0472384283699,437.9708954691745,439.43310546875,439.43310546875,83133200,0.0012429815489127805,0.001243754370645389
2023-11-20,439.1796343511977,443.6637508451693,439.16987676520114,442.815673828125,442.815673828125,69936200,0.007668097736697632,0.007697572889431736
2023-11-21,441.7629179345863,442.68899625100454,440.5736525039583,441.85064697265625,441.85064697265625,49244600,-0.00218167509161038,-0.0021792969682534746
2023-11-22,443.5175171922335,444.8822404813006,442.45498156900504,443.5564880371094,443.5564880371094,59394900,0.003853240182102091,0.003860673456383301
2023-11-24,443.60525077494174,444.0244104771882,443.27382009767217,443.8294372558594,443.8294372558594,29737400,0.0006151759219479302,0.0006153651814628791
2023-11-27,443.19582131477495,444.01465530107345,442.64017440483553,443.0301208496094,443.0301208496094,50506000,-0.0018025776807126803,-0.0018009540133075985
2023-11-28,442.6401889183708,444.77501785393656,442.07481415289016,443.4687805175781,443.4687805175781,62115000,0.0009896452281985546,0.0009901350886198923
2023-11-29,445.63287770336626,446.77341463372636,442.75721578278245,443.1568603515625,443.1568603515625,63146000,-0.0007036119067764801,-0.000703364429964104
2023-11-30,444.00489751533905,445.2526487077367,441.91879722170984,444.9017028808594,444.9017028808594,79752700,0.0039295714197020715,0.003937302308515855
2023-12-01,444.2876295398619,448.06988421555565,443.69301174485037,447.53375244140625,447.53375244140625,89183400,0.0058985939573421575,0.00591602491854637
2023-12-04,444.1219125709975,447.55322124535616,442.89364668102655,445.1844482421875,445.1844482421875,72430900,-0.0052632726000068075,-0.0052494458493973495
2023-12-05,443.7904728995386,446.06175924267177,443.41028403700943,445.0967102050781,445.0967102050781,69793500,-0.00019710186284616071,-0.00019708243955018911
2023-12-06,447.2510249980106,447.2802680067955,442.86439518784823,443.3030700683594,443.3030700683594,69124700,-0.004037917643882061,-0.004029776216257219
2023-12-07,445.39888657776544,447.3387421895649,444.79451124637484,446.6856384277344,446.6856384277344,66995400,0.007601410252827456,0.007630374314469224
2023-12-08,445.93505803646815,449.1421803615345,445.6913563650837,448.6060485839844,448.6060485839844,83194400,0.004290027774036531,0.0042992431165003175
2023-12-11,448.1088478352707,450.52637891012574,447.89438919355985,450.35089111328125,450.35089111328125,65002200,0.0038819316997029674,0.003889476155759519
2023-12-12,449.99997188879604,452.5052319702893,448.9959222888426,452.4077453613281,452.4077453613281,68327600,0.004556827759051529,0.004567225886824122
